Longitude,Latitude,ID
46.054639,51.589321,4640
46.052315,51.55125,4641
45.891846,51.481133,4642
45.893311,51.569744,4643
45.907921,51.608372,4644
45.902874,51.594891,4645
45.986526,51.536362,4646
45.971138,51.580414,4647
45.913216,51.459518,4648
45.927265,51.443714,4649
45.971409,51.580078,4650
46.025191,51.56301,4651
46.01429,51.521175,4652
45.95274,51.464203,4653
46.025341,51.609054,4654
45.911934,51.449356,4655
45.935013,51.427811,6669
45.951084,51.505444,6670
45.99382,51.532818,6671
45.940453,51.508015,6672
45.883247,51.480457,6673
45.980732,51.602295,6674
45.927026,51.513892,6675
45.888935,51.578571,6678
46.085919,51.577554,6679
45.921993,51.467583,6680
45.952206,51.426823,6681
45.883572,51.578545,6682
45.929779,51.476852,6683
45.98912,51.565685,6684
45.930859,51.512224,6685
45.961274,51.569169,6686
45.963322,51.438011,6687
45.926365,51.421825,6688
45.912891,51.458622,6689
45.967392,51.498772,6690
45.986683,51.510685,6691
45.935213,51.441885,6692
45.914452,51.488525,6693
45.907063,51.481014,6694
45.882694,51.615601,6695
45.933891,51.445866,6798
45.924741,51.514546,6799
46.015924,51.589856,6800
45.883114,51.572365,6801
46.005146,51.590271,6802
46.051807,51.553744,6803
46.109154,51.50135,6804
46.007568,51.54818,6805
46.162266,51.46904,6806
46.036112,51.587858,6807
45.949112,51.504769,6808
45.968428,51.433819,6809
45.971749,51.573027,6810
45.992878,51.609707,6811
46.109631,51.588879,6812
46.007858,51.516472,6813
46.015335,51.576473,6814
45.876457,51.510746,6815
46.041302,51.539879,9637
46.008812,51.535305,9638
46.020491,51.542977,9639
45.94767,51.509171,9640
45.967525,51.42522,9641
46.015713,51.545959,9642
45.996784,51.543797,9643
45.958462,51.425167,9644
45.93961,51.508102,9645
45.938847,51.508438,9646
46.010105,51.609123,9647
45.95747,51.576538,9648
45.939919,51.508361,9649
45.964909,51.583035,9650
45.987951,51.565458,9656
46.033834,51.584634,9657
45.946602,51.591667,9658
45.957703,51.425842,9659
45.856552,51.625271,9660
45.947342,51.509651,9661
45.996937,51.5667,9662
45.904911,51.450478,9663
45.985806,51.602356,9664
45.953472,51.541828,10635
45.982929,51.602222,10636
45.923335,51.626206,10637
46.002117,51.568806,10638
46.066036,51.558922,10639
46.002209,51.604061,10640
46.018894,51.552029,10641
46.047436,51.575451,10642
45.913288,51.47057,10669
46.064487,51.56654,10670
45.976675,51.607025,10671
45.969795,51.580833,10672
46.124756,51.590473,10673
46.040524,51.532688,10674
45.920567,51.474525,10675
46.013966,51.609173,10676
46.017189,51.532917,10677
46.009941,51.60154,10678
46.022461,51.528889,10679
46.089859,51.562222,10680
46.130589,51.484898,10681
46.040726,51.534077,10682
46.134995,51.595329,10683
45.901676,51.471977,10684
46.092903,51.49617,10685
46.063182,51.566323,10686
46.091995,51.496181,10687
45.890301,51.566753,10688
45.990383,51.533722,10689
45.967854,51.581688,10690
45.952221,51.460995,10691
45.973629,51.53595,10692
45.968734,51.504735,10693
45.954926,51.51022,10694
46.00087,51.553497,10695
46.025879,51.573757,10696
46.052814,51.580372,10697
46.04784,51.557903,10698
46.10339,51.486279,10699
45.957268,51.421959,10700
46.135925,51.482277,10701
45.894241,51.477612,10702
45.957253,51.437542,10703
46.019054,51.551868,10704
45.981033,51.513168,10705
46.055191,51.538692,10706
45.985821,51.609924,10707
45.891277,51.564919,10708
45.899479,51.48735,10709
45.966686,51.528976,10710
46.065929,51.558018,10711
46.058034,51.608369,10712
46.008183,51.533493,10713
46.017189,51.533108,10714
45.967342,51.585598,10715
45.882168,51.572937,10716
45.886131,51.480015,10717
45.930363,51.483067,10718
45.971977,51.616219,10719
45.932045,51.506115,10720
45.894066,51.477993,10721
45.939194,51.462719,10722
45.970325,51.425789,10723
46.06295,51.568687,10724
45.88126,51.481209,10725
45.968239,51.594177,10732
45.90229,51.583687,10733
46.027748,51.57774,10734
46.059811,51.531631,10735
46.012356,51.609196,10736
45.970932,51.543041,10737
45.855801,51.581703,10738
45.88689,51.581142,10739
45.888502,51.616653,10740
45.961418,51.529575,10741
45.976227,51.623074,10742
45.988136,51.538105,10743
45.960564,51.534763,10744
46.002342,51.592103,10745
46.126984,51.485676,10746
46.135487,51.482407,10747
46.117626,51.494041,10748
46.000973,51.550594,10749
45.936127,51.634293,10750
45.910374,51.469021,10751
46.038368,51.534565,10752
